,Tweet,Polarity
167, proud be a part of this hysterical construction for futuristic universe ,p
169, amazing thanks for replyi am already supporting neom since last two years on spine and nicc packages however not getting chance to be in neom incase,p
175, a dystopian future masquerading as the answer to humanity's problems,n
176, congratulations,p
177, what utter nonsense this does not reflect how you currently run your country,n
178, the truth this gets creepier,n
180, future is here ,p
181, the future looks bright and virtual,p
187, inshaa allah at will great city of the world,p
189, it's a real dream neom,p
190, the church of scientology,p
192, can't wait to live in a futuristic box,p
193, specifically search neom slave labor,n
201, the habitat of the anti-christ,n
203, we dont give a fuck but ok,n
204, is that the sound a raceway makes as it speeds past you,u
205, the beginning of the end of earth ,n
206, yes the future is near ,p
207, neom is part of an anti woman anti lgbtiqa state that executes people with different political beliefs and cuts off the hands of thieves neomycin is pretty much a company that supports totalitarian dictatorship,n
208, i still prefer a corner in switzerland  no but no thanks ,n
209," future is saudi arabia mark my word and note today's date 
vision is so incredible",p
210, interesting no w you will see #pakistani corrupt rulers like nawazsharifmns #zardari nd generals will have bought places in your #neom city #zardarimafia #pakistanbankrupt,0
211, no it's a rendering,N
212, where it is held in jeddah,0
213, where discover neom is being held in jeddah,0
214, neom is the sound i make when my sons spoon becomes an aeroplane at dinner time,U
215, this is the future startup of the world but when it will be completed,P
216, amazing,P
217, the place that hold the future within,P
218, googled and err yeah i don't think it's going to ever be built ,N
219, neom will be the most gay-friendly place on earth inshallah,0
220, will be a  minute city perhaps even an  minute city ,N
221, the future,P
222," a big dream
by a big dreamer",N
223, looks dumb,n
224," q what is neom 
a a boondoggle",N
225, chocolate box,U
226, the future,P
227, proud to be part of this project  tonomus ,P
228, social train,U
229, has the potential to reshape urban civilization as we know it my main concern at the moment isnt the design or aesthetics that saudi will excel in but the policies and innovation that will attract young generations as myself and the next ones it can be something special,0
230,  for deals related to neom,U
231, i would like to join neom,P
232, real humans life,P
233, future,P
234, a futuristic dream that will be reality soon,P
235, i could tell you what it could be,U
236, future vision ,P
237, the city of the future and the city of dreamers ,P
238, a platform for the future would love to discuss autonomy and mobility deployment with this amazing programme,0
239, an overly ambitious project which will probably fall miles short of what it intended to be,N
240, future loop,P
241, my dream  to work in,P
242, it is the future ,P
243, a pipe dream thatll never come to fruition,N
244, new world,P
245, neom is everything,P
246, a new adventure for the planet,P
247, the dream of saudi people ,P
248, the future,P
249, future life algorithm,P
250, the dream is coming true,P
251, neo means new in ancient greek and the m comes from the word future in arabic language as mustaqbal  the first letter from the crown prince mohammed bin salman,0
252, pie in the sky mbs must've refused any and all expert opinion along with the actual cost estimate and from there his teamnof architects just said fuck it let's fantasize  sustainability is laughable desalination alone will be ludicrous it's inconceivable,0
253, ladycountdown quit lying  have read several architects now who have confirmed this structure positioning will cause shearing winds and be a definite problemyour everything is perfect answer to valid criticisms isn't realistic just like your flying cars aren't  it reeks of fraud a grift,N
254, city,U
255, it's fake  it's incredibly inefficient and fully built will need as much water as saudi arabia currently supplies to the entire country  and that  trillion estimate to finish  that won't get them further than a th of the distance by a very conservative estimate  fraud,N
256, i cant find one word to describe neom,U
257, land of dreams city new land of creativity royal city go-green city kingdom of technology,P
258, a partner that im proud to work for/with ,P
259, beautiful saudi,0
260, built on the red sea in northwest saudi arabia neom is a living laboratory  a place where entrepreneurship and innovation will chart the course for this new future it will be a destination; a home for people who dream big and want to be part of building a new model,P
261, built on the red sea in northwest saudi arabia neom is a living laboratory  a place where entrepreneurship and innovation will chart the course for this new future it will be a destination; a home for people who dream big and want to be part of building a new model,P
262, is the peaceful place to live,P
263, the future,P
264, the dreamers city,P
265, is neom what comes before neom,U
266, my utopia,P
267, future now,P
268, future now,P
269, definitely the future,P
270, game changer,P
271, the next future that will change the way of living on the earth,P
272, a pipe-dream vanity project thatll end up one-tenth built at best then left abandoned in the desert,N
273, a new dystopian experiment that will fail miserably thought up by western brains but implemented in countries that have never innovated and have been noted mainly for their poor imitation of the west and their resounding failures,N
274, neom for me is recruitment skills to doing the pest for human,N
275, futuristic destination embedding nature and luxury ,P
276," never give up
you can do that
love from india saudi arabia
#neom 
#saudiarabia 
#nevergiveup 
#neomark ",P
277, futuristic destination embedding nature and luxury ,P
278, the new dream land,P
279, just a bunch of abandoned concrete pads and girders once the oil runs out,N
280, beyond the future,0
281, it is the land where future meets present,p
282," n  e  o  m

 nature
 effective
 optimism
 modular",P
283, imagination become reality ,P
284, the future,P
285, a region on the red sea with amazing weather,P
286, part of the future we see now,P
287, future,P
288, the one  the only,P
289, neom is an opportunity to make a world we want to see and live in it is an opportunity that could save the lives of many worldwide through the technological discoveries that will happen when building the line,P
290, new world with opportunities for millions ,P
291, neom could benefit with #ev from canoo goev ,0
292, it will bring a new definition of quality living,P
293, neom is life ,P
294, neom: is the name of the future saudi smart city that should be born on the shores of the red sea in the tabuk region (neom from the greek fusion neo (new) and arabic mustaqbal),P
295, neom: is the name of the future saudi smart city that should be born on the shores of the red sea in the tabuk region (neom from the greek fusion neo (new) and arabic mustaqbal) ,P
296, a money laundering opportunity,N
297, indescribable dream ,P
298, the future,P
299, inspiration zone where intuition accelerates ,P
300, revolution,0
301, dreamers paradise,P
302, my dream project,P
303, dream,P
304, future manifest,P
305, the city of the future for the smart dreamer ,P
306, city of the future,P
307, this is cheap to ask here would you recruit me civil engineer,U
308, a city that has traveled to us from the future,P
309, our future our vision and ambition,P
310, my dream job,P
311, miracle city,P
312, a beautiful project so long as it does not displace those already living there,0
313, a dream coming true,P
314, terrorist country,0
315," neom is life neom is culture neom is hope neom is serenity neom is a legacy
it will be a beacon of light for all future generations",P
316, a fun idea to attract attention ,P
317, the future of the kingdom ,0
318, a (new) climate city  float cities on its ports linear green self sufficient city its really miracle  : i wish god  speed the establishment of this amazing city  the (m) letter is mustagbal : it means the future,P
319, one of the innovations of mohammed bin salman,0
320, neom its gem on earth new lifestyle,P
321, the future ,P
322, a lot of d animations,U
323, not a  but an ambitious enterprise of innovative and technically awe inspiring futuristic plans to shape our new look on living,P
324, a result ,P
325, an ephemeral project that will only be ruined as the prophecies will come true,0
326, make the impossible possible,P
327, future utilizing for high tec,P
328, neom is a benchmark of premium life style set by prime minister mbs for the entire world ,0
329, neom is the vision of hh mbs it will be the biggest wonder of the world,0
330," the land of moses jethro mount sinai and an abundance of sacred historical sites 

home to many bedouins also precious and sacred and must also be preserved",0
331, we are so proud of something extraordinary not happened before high tech beautiful nature new place for tourism and industry ,P
332, neom is the future,P
333, its the future,P
334, our dream ,P
335, a hope for a better future,P
336, neom is the land where you will find the future himself,P
337, my love ,P
338, so what is neuz,N
339, a project i thought was a cool idea but is taking too long to get going,N
340, the future ,P
341, the place you dream of living before you sleep,P
342, future,P
343," sindalah my dream 

the line my nightmare",0
344," neom is an old evangelical fantasy that's finally coming to fruitation the line is simply two walls separating neom's future population from bedouins

you're welcome
",0
345, development project,U
346, the best saudi future in the world,P
347, neom stands for two meanings neo in latin scripts means new] and m stands for mustaqbal which is future in arabic],P
348, the future,P
349, paving way for israel,0
350, a blank canvas that allows you to do something from scratch creating a place described genes for that purpose and using advanced materials to be the most efficient place there is,P
351, sneak peek at the future,P
352, a world  of innovation and creativities where ambitious born and mega projects raised,P
353, a great opportunity for change towards a better future for the wider region and its people,P
354, promising futuristic region,P
355," neom actually word comes from neo which is new in greek and m is the first letter of the word mostaqbal which is future in arabic
so its new future",P
356, neom  would love to discuss a potential deal expanding the project into other countries at a smaller scale level for apartment complexes,U
357, saudis gift to human,0
358, city of dreamers,P
359, new emotion ,P
360, a dream an overly ambitious project something out of a movie,P
361, where dreams come to reality,P
362, when the dream becomes reality,P
363," the real meaning of:
when there is a well there is a way ",P
364, when is the ipo getting released,0
365, my future workspace probably,P
366, future,P
367, neo means new world as i understand it neom is one of the first big gesara projects it looks awesome wish i could be involved rather than observing if you ever need a guitar lesson/songwriting/live music venue there give me a shout tuned to hz,U
368, the dreams and aspirations of a thousand generations ,P
369, miracle ,P
370, its the dreams  the future and chances,P
371, new architecture standards,P
372, the place where dream becomes reality,P
373, a bridge between east and the west,P
374, the future that we live it today,P
375, a future home for my children and grandchildren,P
376, i have no idea,U
377, an ecological city,P
378, neom is the gateway to the future that we have been aspiring for since our childhood and the sure future vision from its inception to completion,P
379, new in english and future in arabic,P
380, made to change,P
381, futures eco friendly city,P
382, good morning there is a new and large building for rent inside duba for companies to contact privately,0
383, this is incredible keep up the amazing and transformative work so excited about this project,P
384, neom: future refined,P
385," put it on your press release please 

",U
386, to whom it may concern,U
387, i think you misunderstood my question is do you have a plan to attract web companies to neom like incentives,U
388," how would the line face earthquakes
is not a little bit difficult it is not a point it is line
just for passion and love",N
389, thats massive amazing job wish you all the best ,P
390, is scuba diving allowed now,u
391, saudi arabia has so many amazing places to visit im glad the saudi government opened up tourism to let the world experience and discover the culture,0
392, simply mind blowing neom,P
393, aims to create more sustainable food join our experts as they discuss how theyre using next-gen tech to reduce pressure on the planet #neom  ,P
394, ziggyunited micro pores for birds  like a screen that will let birds fly through the holes that is a talking point not reality,U
395, is neom open to web companies,U
396, i had the same comment when i visited alula and i have been to the grand canyon ,U
397, i'm looking forward to move to neom,P
398, trojena hi future is neom open to web companies,U
399, tonomusneom is earth quick taken in consideration in building the city,U
400," whenever i listen or saw something about neom i wonder what is the purpose of it
it is just a hi-tech resort
are they going to sell its properties or rent it 
it will take at least  years to complete in my opinion
world will be not same after  years
best of luck",U
401, can i say all ,U
402, id love to visit neom such a great job #saudivision,P
403, please let me know for geotechnical position there,U
404, cant wait to be there,P
405, corals look a bit dead though (colorless),N
406, welcome to #saudiarabia the kingdom of the most beautiful seas in the world,0
407, i like to snorkel,U
408,there will be so many aquatic experiences available on the coasts of neom but which will you pick first,U
409, as long as blue hydrogen doesn't produce carbon dioxide it is also a viable process it doesn't need as much energy or freshwater as green hydrogen either having nuclear to provide the power to make the chemistry easier during off hours (: to :) would help,0
410," iyiew curious to invest 
do you have a ticker on the market",U
411," as explained by ganeshprasad of  thinkschoolbot

#theline is a linear smart city under construction in #saudiarabia in #neom tabuk province which is designed to have no #cars streets or #carbon emissions

enjoysaudi kingsalman
",0
412, is there a possibility to contact your media team via e-mail the contact form on the website unfortunately only generates error codes for me (my dms are open),U
413, saudiff saudi theafcdotcom and saudi arabia will win it mark my words im happy excited and proud that my country will host the biggest event in asia ,0
414, wef what a sausage-fest,N
415, funny thing they never addressed food in their model as far as i could tell the idea of compact cities with  million people and the food needed to sustain that then being built in such odd spaces and when the population grows past that  million has given me many questions,U
416, is real this is the first film in what will be an ongoing series showing progress at neom stay tuned for further updates coming soon  is going to be a big year ahead for us #neom  ,U
417, mclarenfe  million and only  likes formula i used to hate it now in electric i rather watch my kettle making me hot water,U
418, is this you,U
419, mclarenfe awesome graphic but is it really called the diarrhoea e prix,U
420, mclarenfe love this graphic ,U
421, had a wonderful experience highly recommmend to visit great team making this happen,U
422, mclarenfe how far along in construction has come along for the mega city,U
423, mclarenfe contructing neom with donkeys and horses ,0
424, put me  miauniverse in this cause f it were down to race,U
425, i like how your name sounds like an f car neeeeeeeeeeoooooommmmmmm,U
426, mclarenfe diriyahsounds shit,U
427, you should buy  i just lowered the price down to  at one point i was asking  million nonetheless you should check it out ,0
428, mclarenfe are women allowed,0
429, mclarenfe ne seit wann haste ne company,0
430, how mich did you pay for the likes ,0
431, mclarenfe i have tried really hard to like formula e but don't f indy car wsb bsb all road racing are fantastic formula e is soulless,0
432, only way to stop war is peace  only way to start war is hate,0
433, mclarenfe it looks rubbish,0
434, mclarenfe thought it was blockbusters for a minute,0
435, mclarenfe i wonder how many kids died getting the cobalt out of the ground for you all to have a big jolly in the desert,0
436," mclarenfe your project is already turning into hell no thanks

",0
437, see u at the toilet,0
438, mclarenfe so you guys are actually gonna build this thing i'm honestly surprised,0
439, my painting ,0
440, lets do this ,0
441," mclarenfe when i see this all i can think is

i'd like a p please bob
#blockbusters",0
442, diarrhoea or diarrhea youre not even close,0
443, i will be there,P
444, nice design,P
445, a dream becomes true,p
446, how can someone become a software development supplier for this amazing project,P
447," i'm dyslexic i read that as diarrhoea here 
 :/",0
448, mclarenfe ermmm there paint drying i gotta see that,0
449, the future,P
450, mclarenfe omen,0
451, mclarenfe plenty of incident but ultimately no soul like watching football without the crowds,0
452, mclarenfe bring lots of toilet paper,0
453, mclarenfe fasten your seat belt very topical hello mr prime minister rishisunak,0
454, mclarenfe renerastracing jakehughesrace excited to see the results ,0
455, mclarenfe renerastracing jakehughesrace where's the body,0
456, mclarenfe  million views and  likes haha,0
457," pippacrerar 
conservatives rishisunak 
the elephant was duly noted as missing from the room today
im so glad hell be goingive been tweeting for a long timethis man is not what he portrays himself to be ",0
458, mclarenfe how many slaves died building the race track this is just another celebration of slavery,0
459, mclarenfe thought it was blockbusters being brought back to tele then,0
460, can v visit to see the wonder land,0
461, mclarenfe the friend of dajjal mbs,0
462, you spelled prison wrong,0
463, diarrhea,0
464, mclarenfe thought a new series of blockbusters was starting  for a second,0
465," mclarenfe my name is rishi
do i have to fasten my seat belt",0
466, mclarenfe defo gonna watch that i am convinced e-fs are peak of automobile engineering right now,0
467," mclarenfe diarrhea
head of marketing may wanna rethink this onelol",0
468, mclarenfe but not if youre the pm,0
469, mclarenfe only nerds and doomed evil empires like this,0
470, mclarenfe diarrhea is how i read it ,0
471, mclarenfe please stop killing innocent yemenis ,0
472," mclarenfe i just keep giggling that this is to do with cars tbh

nnnnnnnnnnneeeeommmmmmmmm",0
473," mclarenfe coal powered cars racing in a desert using lithium as storage you guys are so cool
do you have any spare cash or are you just monsters
asking for a friend",0
474," wef the blockchain technology of the neom project hopes to be with coredao

#neom #blockchain #coredao #btc",0
475, it's spelled diarrhea,0
476, e-prix is as gay as it sounds,0
477, m views for k likes is crazy ,0
478, im playing only gold tablet but i get pc soon,0
479, wef hopefully something sensible can be achieved there like an agreement to share (non-coercively) best practices on water desalination and treatment,0
480, sindalah absolutely beautiful,0
481," wef good morning neom kindly i got an interesting innovation for neom could you please put me me in touch with the ceo 

regards 
dr hassan 
dsc green materials",0
482," 
good morning neom kindly i got an interesting innovation for neom could you please put me me in touch with the ceo 

regards 
dr hassan 
dsc green materials",0
483, wef rayanfayez traitors you blindly follow the satanic psychos at the wef,0
484, does motorsport sponsorship fit with your crazy net zero proposals for stacked living,0
485, wef  think big  ,0
486, #neom a #saudiarabiabloodydictatorship's owned company  ,0
487, wef please start put on videos from on-site development of the line as well,0
488, at davos talking about #theline,0
489,,0
490," narada falls mt rainier national park #
",0
491,  will be a great year for saudi arabia with all of these events ,0
492, the imaginary city of butcher  the killer bin salman,0
493, can i have your e-mail ,u
494, i know i wont be the only one but  is it too late to change the name  it really conjures diarrhea conotations  sorry but it really does,N
495, diriyah sounds shit,N
496, this new lego set is nice,N
497, wef partnering with the wef ,0
498, see you there,U
499, wef power multiplier device last resize (i hope)- an open sourced gravity driven continuous motion free energy generator good for grow live towers as well,0
500," wef grow live towers
a cylindrical structure that has a central support column periphery support columns and suspension cables to connecting the two to support the floor levels the lower  levels are where the people live the upper  levels are greenhouse levels for food",0
501, bro thats a funny way to spell diarrhea,N
502, ibra wef it showcases the future of saudi arabia and possibly the region and not just the province of tabuk ,0
503, wef need to contact neom ,U
504, wef will you guys showcase it (neom) in london if yes when,U
505," wef lordvxrp what do you think about this 
(elgrego)",U
506, wef davos is not about new future it is only about more money for a small group of oligarchs,0
507, wef neom - new home of the cosmopolitan homeless future innovation hub or dystopian cyberpunk ghetto we will see,0
508, wef woooooooohoooooooo nice i visit ,0
509, sindalah bullshtall bullsht and lies lol,0
510," now available in stores
",U
511, sindalah how on earth did i end up on your twitter feed  if i want to live on the island of lost souls i will contact you,0
512, sindalah would the woman diving in the video be able to show her hair like that in the new city,0
513, sindalah very tired of the current boom in the gulf countries the societies of the future will not be built on the basis of golden pillars if not on foundations with centuries of democracy as it has cost so much in europe or the united states el dinero no os har una sociedad mejor,0
514, sindalah how many bedouins had to die for your disneyland,0
515, sindalah will the beheadings also be shown in d,0
516, sindalah can't wait to bring my yacht to a fascist dictatorship,0
517, sindalah how's that vertical city coming along gone a bit quite considering it should be  complete by now ,0
518, sindalah  exclusive yachting,0
519, sindalah be the hero of your own story ,0
520," sindalah will be allowed to drink beers  
women will be free to dress as they want",0
521, sindalah i was over in egypt a couple of weeks ago and heard the diving is closed over there at the moment how do i get over with colleagues to see this beautiful new city and enjoy the diving ,0
522, sindalah idc abt any of this but the audio is dope,0
523, sindalah we all only have one human life with the length measured in each breath,0
524, real madrid ,0
525, real madrid of course,0
526," sindalah for iranian people
#irgcterrorists",0
527, sindalah seeing this set up at davos i want to go live there,0
528, sindalah look slightly less ridic than the line so your masters in charge might be actually either a) studying reality or b) getting some better realistic architectural plans be more like dubai and less like  saudi arabia i assure you we have utterly no interest in visiting yet,0
529, sindalah one of the new hot destinations to get murdered as a journalist,0
530, sindalah rich mens exclusive bubble cant wait to see another of these projects flop ,0
531, sindalah i dont know about you but every time i see  paid ads i draw similarities to this: ,0
532," sindalah irgc terrorists
#irgcterrorists
#womanlifefreedom",0
533, sindalah scam,0
534, threadreaderapp please unroll,0
535," sindalah except that the pictured ecology of the red sea will be completely destroyed by the fossil fuel emissions that raised the money to build this folly  this is a vainglorious fantasy built by people who don't understand the laws of physics and nature

",0
536, sindalah help iran #irgcterrorists,0
537, sindalah  million for an apartment,0
538, sindalah why is there a berlin wall around its perimeter you have to realise what the intent is locking people up pretend its all for the environment and large corporations keep digging for resources the hypocrisy and lies are beyond glorification,0
539, sindalah rather spend the construction money on preserving and regenerating nature,0
540, wow amazing,P
541, sindalah send greta,0
542, sindalah it is possible that this is the goal and source of motivation for my efforts cheers,0
543, sindalah would we also see the sword of moses the one that divides the red sea into  fjdjdjdj,0
544, sindalah a friend,0
545, sindalah looks a lot like that fyre festival some years ago,0
546, sindalah atleast change ur name,0
547, sindalah no it won't,0
548, sindalah i would go and work there for a few years,0
549, sindalah pour les riches,0
550,,0
551, sindalah  then: dystopian linear city in the deset now: luxury yatching island keep downscaling,0
552, sindalah very beautiful ready to travel after watching this video,0
553, sindalah funny how on this publicity there is not one women wearing the veil hahhahhaha,0
554, sindalah stop building and destroy our freaking planet you just so guys can make a freaking profit,0
555," i got scholarship for the nfts online filmmaking course is the workshop travel costs and living expenses covered by neom for students 

and what about companions costs also if hes not relative",U
556, sindalah neom ist so uncool,0
557, sindalah be part of the human rights community and watch woman being stoned to death as they throw queens off rooftops before setting them on fire sounds like a wonderful place,0
558, sindalah i love the silhouette of the sunit seems to become a man to catch her ,0
559," sindalah how much does a beer cost there
#askingforafriend",0
560, sindalah #saynotoneom #noneom no more fake islands,0
561, sindalah i want to go here,0
562, sindalah looks like a cod map,0
563, sindalah yes please,0
564, sindalah the sort of place darth vader would go on holiday,0
565," sindalah sepah is terrorist
world should now that

#irgcterrorists
#",0
566," sindalah yep the new world prison 
hhhhh",0
567, sindalah what is this ad targeting,0
568, sindalah until it gets inevitably flooded and overtaken by nature such skilled people are working at neom but sadly the overall output is poor,0
569, sindalah and available to all  billion of us with zero environmental damage done or so gabriela d'souza economist and growthist would have us believe,0
570, sindalah islamic republic is a dangerous organization for world  #irgcterrorists,0
571, sindalah cant wait to visit,0
572, sindalah how are they managing turning the desert green,0
573, sindalah awesome here's a wealthy country that can take all the islamic refugees that currently harrass europe,0
574, sindalah but will there also be flogging  beheadings to enjoy,0
575, sindalah ask the us govt to stop stealing all our  then maybe we can afford a vacay,0
576, sindalah atheists in this place are subject to execution women need permission from a man to leave seriously don't go there,0
577," sindalah congratulations  you just paid a dollar to serve this ad to a man who lives on a car

please give to my gofundme",0
578," sindalah 
 good morning ",0
579, yes it was epic but it has been a shame and a total lack of respect that the saudi fans have been whistling and booing when real betis had the ball  betis has the most popular and beloved fans in spain and we was cup champions this season playing football very well respect,0
580, it has been a shame and a total lack of respect that the saudi fans have been whistling and booing when real betis had the ball real betis has the most popular and beloved fans in spain #respect,0
581, sindalah what a lot of misleading advertising and btw who in their right mind would want invest in any saudi project,0
582, sindalah does each room come with a bone saw,0
583, sindalah this ad looks great,0
584, sindalah neglects to mention its in saudi arabia no thanks,0
585, sindalah no female in their right mind would dare venture a single step into saudi arabia  nice try mohammed bone saw,0
586, sindalah we dont need more fake islands have you seen under the sea in dubai  there is no life  #saynotoneom #noneom #neom #sindalah,0
587," sindalah lmao entylawyer you see this
im sure this yachting paradise will attract lots of young hollywood types",0
588, when adding bitcoin,0
589, sindalah ugly no thanks maybe treat people better,0
590, sindalah looks like the next ecological destruction,0
591, sindalah may i ask how much youre paying the people building this utopia,0
592," i got scholarship for the nfts online filmmaking course is the workshop travel costs and living expenses covered by neom for students 

and what about companions costs also if hes not relative",0
593," i got scholarship for the nfts online filmmaking course is the workshop travel costs and living expenses covered by neom for students 

and what about companions costs also if hes not relative",0
594, sindalah prices please,0
595, can i have neom logo in high resolution,0
596, sindalah but because there is no one to give them faith and be honest with them,0
597, sindalah good morning ,0
598, why are you pandering soo much to europe don't you have any pride,0
599, sindalah hope this won't be too absurd like the line ,0
600, sindalah where you get to go if you make it to the front of the desert piercer,0
601, sindalah already opening or still building up,0
602, sindalah ugly,0
603, sindalah we dont go in for this sort of thing in the uk we purposely pollute our waters and get rid of the fish,0
604, sindalah does it have a bar for leeds fans if so im in,0
605, real ,0
606, oh l#know,0
607, sindalah paradise lost,0
608, sindalah piss off that,0
609, sindalah shame on your project,0
610, sindalah run by mossad again i assume,0
611, sindalah how many slaves are you using to build this,0
612, sindalah who cares its just a rich persons wank,0
613, sindalah what about cashooggi,0
614, sindalah absolutely beautiful but it will never be completed,0
615, sindalah the place i've always dreamed of going,0
616, sindalah sex banal sex and alcohol is free the human rights have jurisdiction there,0
617, sindalah below the water is ghislane coming to pilot the subs,0
618, sindalah is that for the billionaires who come to see the line people like zoo exhibits,0
619, sindalah do you really believe that luxury is a tribute to nature  are you kidding us,0
620, sindalah so beautiful,0
621, sindalah i was think that ships are fingers,0
622, sindalah that doesn't make sense,0
623," announces trojena's latest ski retreat #thecheditrojena managed by ghmhotels has officially been announced as #trojena's third ski resort

 ",0
624, sindalah amazing project dream big,0
625, sindalah  million minimum for a home just another playground for rich,0
626, sindalah thats right get in quick get the money and wait a few years for all those rich buyers to be underwater,0
627, sindalah wow what a dump,0
628, sindalah why are you sending me promoted tweets im too poor to understand the concept of yachting,0
629," sindalah freedom in iran = pace of the werld
#irgcterrorists
#ss
#mahsaamini",0
630, sindalah is this like late epstein's piece be upon him island,0
631, sindalah remember when you all cut that guy up with a chainsaw,0
